;row;col;label
0;105;314;3
1;105;329;3
2;108;314;3
3;111;339;3
4;111;341;3
5;112;263;1
6;116;249;3
7;116;321;3
8;119;340;3
9;121;262;3
10;126;279;3
11;128;242;3
12;128;272;3
13;128;314;3
14;128;316;3
15;131;295;3
16;132;251;3
17;132;274;3
18;132;337;3
19;132;339;3
20;132;363;3
21;134;348;3
22;134;363;3
23;135;308;3
24;136;321;1
25;138;309;3
26;138;345;3
27;143;340;3
28;145;328;1
29;147;244;3
30;147;246;3
31;147;254;3
32;148;241;3
33;148;338;3
34;148;370;3
35;149;250;3
36;150;258;3
37;150;370;3
38;152;330;3
39;153;354;1
40;154;330;3
41;156;234;3
42;156;289;3
43;157;236;3
44;159;243;3
45;159;245;3
46;159;255;3
47;160;293;3
48;161;254;3
49;161;319;3
50;162;293;3
51;163;259;3
52;164;378;3
53;165;235;3
54;165;372;3
55;166;378;3
56;167;241;3
57;171;275;3
58;173;381;3
59;174;354;3
60;174;356;3
61;175;283;3
62;175;365;3
63;175;385;3
64;176;279;3
65;177;263;1
66;177;288;3
67;178;271;3
68;178;273;3
69;181;230;3
70;181;256;3
71;181;262;3
72;181;264;3
73;181;270;3
74;182;268;3
75;184;291;3
76;184;295;3
77;184;297;3
78;185;244;3
79;185;246;3
80;186;251;3
81;186;253;3
82;186;370;1
83;188;266;3
84;189;237;1
85;189;260;1
86;190;266;3
87;190;370;3
88;190;372;3
89;191;223;3
90;191;365;3
91;192;381;3
92;193;222;3
93;193;268;3
94;193;308;3
95;195;224;3
96;195;364;3
97;196;358;3
98;196;360;3
99;197;364;3
100;198;248;3
101;198;357;1
102;198;359;3
103;199;258;3
104;200;261;3
105;201;256;3
106;202;225;3
107;202;294;3
108;202;365;3
109;202;367;3
110;203;388;3
111;204;226;3
112;204;228;3
113;205;370;3
114;205;372;3
115;206;227;3
116;206;277;3
117;207;371;3
118;207;397;3
119;208;260;3
120;208;347;3
121;209;262;3
122;209;267;3
123;211;363;1
124;211;378;1
125;214;275;3
126;215;288;3
127;215;390;1
128;216;393;3
129;217;251;3
130;217;367;1
131;219;280;3
132;222;357;3
133;222;359;3
134;222;376;3
135;224;252;3
136;224;370;1
137;225;358;1
138;226;237;3
139;226;239;3
140;226;248;3
141;226;250;3
142;226;296;3
143;227;319;3
144;228;228;3
145;228;280;3
146;228;296;3
147;228;387;3
148;228;389;3
149;229;345;3
150;229;347;3
151;230;267;1
152;232;248;3
153;232;398;3
154;233;241;3
155;234;352;3
156;236;240;3
157;237;234;3
158;237;348;1
159;237;391;1
160;237;394;3
161;238;240;3
162;238;314;1
163;238;325;3
164;243;405;3
165;244;261;3
166;245;223;1
167;245;263;3
168;245;301;3
169;246;260;3
170;246;266;3
171;246;275;3
172;246;342;1
173;246;356;1
174;246;387;3
175;246;389;3
176;249;276;3
177;249;284;3
178;249;331;3
179;250;402;3
180;253;310;1
181;254;406;3
182;256;406;3
183;257;234;1
184;257;338;3
185;257;399;1
186;258;400;3
187;258;404;3
188;259;331;1
189;260;378;3
190;261;288;3
191;261;317;3
192;262;379;3
193;263;287;3
194;263;292;3
195;264;319;1
196;264;378;3
197;266;236;3
198;266;238;3
199;266;248;3
200;266;254;3
201;266;256;3
202;267;342;1
203;269;335;1
204;270;377;3
205;271;298;3
206;274;244;3
207;276;386;3
208;276;393;3
209;277;295;3
210;278;227;3
211;278;229;3
212;278;285;1
213;278;393;3
214;280;246;3
215;280;287;3
216;280;289;3
217;281;297;3
218;281;315;1
219;282;287;3
220;282;299;3
221;282;314;3
222;282;393;1
223;284;417;3
224;286;269;3
225;286;278;3
226;286;377;3
227;287;337;3
228;287;369;3
229;287;400;3
230;288;377;3
231;288;421;3
232;289;330;3
233;289;332;3
234;289;381;1
235;290;418;3
236;290;420;3
237;291;366;1
238;291;367;3
239;291;369;3
240;291;401;3
241;294;240;3
242;296;383;3
243;297;282;3
244;299;253;3
245;301;388;3
246;304;264;3
247;304;303;3
248;304;324;3
249;306;287;3
250;306;289;3
251;306;377;3
252;307;317;3
253;307;334;1
254;309;252;3
255;311;372;3
256;312;352;1
257;313;372;3
258;314;308;3
259;314;311;1
260;314;389;3
261;316;273;3
262;316;308;3
263;316;328;3
264;318;308;3
265;318;328;3
266;318;392;3
267;319;245;1
268;320;308;3
269;321;256;1
270;322;296;3
271;322;409;3
272;323;311;3
273;323;313;3
274;324;284;3
275;324;411;1
276;325;323;1
277;327;236;1
278;329;238;3
279;329;257;1
280;329;304;1
281;330;331;1
282;331;331;3
283;332;316;3
284;333;297;3
285;335;251;1
286;335;296;1
287;335;299;1
288;335;345;3
289;335;347;3
290;336;246;1
291;337;281;1
292;341;323;3
293;342;320;3
294;342;372;3
295;342;374;3
296;345;313;3
297;345;315;3
298;346;293;3
299;347;339;3
300;348;242;1
301;348;247;3
302;348;281;1
303;348;293;3
304;348;355;3
305;349;372;3
306;349;374;3
307;350;293;3
308;351;281;3
309;351;283;3
310;351;285;3
311;352;346;3
312;354;279;3
313;356;347;3
314;357;240;1
315;357;284;3
316;359;284;3
317;359;313;1
318;360;252;1
319;361;299;3
320;362;281;3
321;363;264;1
322;364;288;3
323;364;290;3
324;364;316;1
325;364;320;1
326;366;263;3
327;366;302;3
328;366;304;3
329;366;405;3
330;367;248;3
331;368;323;1
332;371;371;3
333;372;330;1
334;376;252;1
335;376;285;1
336;378;309;1
337;381;261;1
338;394;381;3
339;396;300;3
340;396;384;1
341;399;276;3
342;404;296;3
343;405;289;3
344;414;282;3
345;415;367;3
346;415;369;3
347;416;309;3
